ID_Mensagem	Tempo_Decorrido_Segundos
1	0.198549
2	0.173875
3	0.171297
4	0.245308
5	0.175093
6	0.167626
7	0.152375
8	0.141088
9	0.139508
10	0.141192
11	0.140896
12	0.137537
13	0.142672
14	0.138464
15	0.141434
16	0.140365
17	0.143398
18	0.140743
19	0.139819
20	0.141999
21	0.140132
22	0.143237
23	0.136896
24	0.140303
25	0.139913
26	0.142080
27	0.140001
28	0.141382
29	0.139370
30	0.141397
31	0.138353
32	0.139151
33	0.140519
34	0.141329
35	0.143586
36	0.143120
37	0.138963
38	0.140310
39	0.137987
40	0.140352
41	0.140005
42	0.140570
43	0.139762
44	0.141479
45	0.140751
46	0.140058
47	0.138607
48	0.140138
49	0.140279
50	0.142087
51	0.144437
52	0.141327
53	0.138834
54	0.140066
55	0.146023
56	0.137285
57	0.142097
58	0.138525
59	0.142618
60	0.136795
61	0.143309
62	0.136118
63	0.143556
64	0.137339
65	0.145652
66	0.134367
67	0.144923
68	0.138360
69	0.143480
70	0.136984
71	0.144345
72	0.138533
73	0.142666
74	0.134805
75	0.143033
76	0.136481
77	0.147011
78	0.137219
79	0.142495
80	0.136869
81	0.144386
82	0.136522
83	0.141713
84	0.138665
85	0.142315
86	0.136326
87	0.146034
88	0.136597
89	0.144613
90	0.136479
91	0.143909
92	0.138095
93	0.143064
94	0.135072
95	0.146926
96	0.134179
97	0.145153
98	0.137135
99	0.145906
100	0.137505
101	0.144371
102	0.135984
103	0.145602
104	0.138508
105	0.145093
106	0.136530
107	0.144739
108	0.137775
109	0.143232
110	0.140596
111	0.137860
112	0.141530
113	0.141919
114	0.140563
115	0.140851
116	0.141248
117	0.140196
118	0.139374
119	0.140131
120	0.139263
121	0.140584
122	0.142087
123	0.139446
124	0.139724
125	0.141740
126	0.139320
127	0.140284
128	0.139255
129	0.142853
130	0.140750
131	0.140281
132	0.140703
133	0.142049
134	0.140619
135	0.139229
136	0.140794
137	0.140363
138	0.141205
139	0.139524
140	0.140240
141	0.142847
142	0.142481
143	0.137771
144	0.138524
145	0.142481
146	0.139897
147	0.141446
148	0.138516
149	0.142906
150	0.139105
151	0.140594
152	0.141129
153	0.141088
154	0.140658
155	0.140265
156	0.140121
157	0.139594
158	0.139093
159	0.139668
160	0.142456
161	0.143076
162	0.139910
163	0.137394
164	0.159083
165	0.136875
166	0.143331
167	0.135494
168	0.142803
169	0.138341
170	0.144138
171	0.136937
172	0.144295
173	0.135993
174	0.145161
175	0.133697
176	0.134498
177	0.134187
178	0.140866
179	0.139090
180	0.140925
181	0.139685
182	0.138912
183	0.141600
184	0.141638
185	0.139473
186	0.143658
187	0.138735
188	0.140045
189	0.142001
190	0.138681
191	0.139950
192	0.141708
193	0.139927
194	0.140120
195	0.140373
196	0.159356
197	0.134269
198	0.131548
199	0.133678
200	0.132576
