ID_Mensagem	Tempo_Decorrido_Segundos
1	0.189092
2	0.176692
3	0.180660
4	0.236994
5	0.173676
6	0.174730
7	0.154598
8	0.135007
9	0.145289
10	0.135013
11	0.145099
12	0.138249
13	0.144367
14	0.139925
15	0.143573
16	0.136256
17	0.143713
18	0.137831
19	0.142615
20	0.136584
21	0.142179
22	0.136803
23	0.144439
24	0.139491
25	0.142800
26	0.135922
27	0.140766
28	0.139947
29	0.142268
30	0.138875
31	0.140800
32	0.141436
33	0.138919
34	0.140274
35	0.138137
36	0.141223
37	0.140165
38	0.143138
39	0.140608
40	0.141939
41	0.139963
42	0.140601
43	0.139285
44	0.141512
45	0.138648
46	0.142018
47	0.139429
48	0.138037
49	0.142925
50	0.142736
51	0.138124
52	0.140769
53	0.141825
54	0.138329
55	0.142207
56	0.143240
57	0.138479
58	0.139143
59	0.140458
60	0.141305
61	0.138967
62	0.140617
63	0.140277
64	0.138994
65	0.140773
66	0.143121
67	0.141090
68	0.146661
69	0.136116
70	0.143899
71	0.135672
72	0.141155
73	0.135648
74	0.144047
75	0.137720
76	0.144846
77	0.135191
78	0.144963
79	0.134388
80	0.144743
81	0.137245
82	0.144872
83	0.137526
84	0.143275
85	0.137122
86	0.144011
87	0.134833
88	0.142154
89	0.135471
90	0.146547
91	0.134409
92	0.148412
93	0.136204
94	0.142520
95	0.134473
96	0.142403
97	0.135854
98	0.145421
99	0.137951
100	0.144452
101	0.136536
102	0.142312
103	0.134869
104	0.144954
105	0.136512
106	0.144272
107	0.133761
108	0.148031
109	0.135462
110	0.141998
111	0.136547
112	0.148104
113	0.137605
114	0.143300
115	0.135612
116	0.144845
117	0.134579
118	0.147502
119	0.139325
120	0.144707
121	0.138028
122	0.146943
123	0.134804
124	0.143793
125	0.150817
126	0.142542
127	0.138028
128	0.139492
129	0.141648
130	0.139249
131	0.141602
132	0.136845
133	0.142923
134	0.139131
135	0.140336
136	0.137971
137	0.142740
138	0.139555
139	0.139163
140	0.142566
141	0.140711
142	0.140417
143	0.140380
144	0.141829
145	0.141675
146	0.141074
147	0.141581
148	0.140196
149	0.139129
150	0.140681
151	0.140882
152	0.139349
153	0.141582
154	0.140944
155	0.140472
156	0.139732
157	0.141631
158	0.143501
159	0.138681
160	0.138829
161	0.142695
162	0.139455
163	0.141410
164	0.140000
165	0.137748
166	0.140167
167	0.140133
168	0.142240
169	0.141377
170	0.140805
171	0.141593
172	0.142849
173	0.146204
174	0.135655
175	0.142729
176	0.138280
177	0.145104
178	0.134020
179	0.143832
180	0.136796
181	0.143432
182	0.138355
183	0.144366
184	0.136529
185	0.142722
186	0.138180
187	0.145068
188	0.135946
189	0.144906
190	0.136400
191	0.144919
192	0.135092
193	0.144639
194	0.139411
195	0.143447
196	0.138175
197	0.139403
198	0.139968
199	0.142429
200	0.136658
