# Dados coletados com Baud Rate: 9600
# Média dos tempos decorridos: 0.140512 segundos
# ID_Mensagem	Tempo_Decorrido_Segundos
1	0.156723
2	0.041903
3	0.151330
4	0.197341
5	0.139610
6	0.142088
7	0.139544
8	0.140766
9	0.140316
10	0.141417
11	0.141868
12	0.139657
13	0.139371
14	0.143363
15	0.141279
16	0.137762
17	0.139651
18	0.141003
19	0.139753
20	0.140823
21	0.142895
22	0.139296
23	0.139960
24	0.142428
25	0.141554
26	0.139078
27	0.141214
28	0.141126
29	0.141908
30	0.140995
31	0.137437
32	0.141047
33	0.141557
34	0.138351
35	0.139994
36	0.139822
37	0.141631
38	0.138236
39	0.137436
40	0.140755
41	0.139947
42	0.140889
43	0.139341
44	0.141633
45	0.140206
46	0.139828
47	0.139553
48	0.142320
49	0.139714
50	0.140469
51	0.141988
52	0.139785
53	0.139098
54	0.139346
55	0.142479
56	0.143919
57	0.140890
58	0.138644
59	0.140775
60	0.138316
61	0.139889
62	0.140877
63	0.138907
64	0.139780
65	0.139071
66	0.139565
67	0.141247
68	0.139036
69	0.140873
70	0.139159
71	0.139729
72	0.139333
73	0.139511
74	0.140204
75	0.141211
76	0.141464
77	0.142364
78	0.139661
79	0.136606
80	0.144288
81	0.139125
82	0.138078
83	0.142116
84	0.141089
85	0.147847
86	0.135616
87	0.148311
88	0.135624
89	0.144332
90	0.137248
91	0.143782
92	0.136685
93	0.144854
94	0.135684
95	0.144607
96	0.133346
97	0.146912
98	0.136586
99	0.146166
100	0.135541
101	0.147378
102	0.138978
103	0.142375
104	0.137763
105	0.144042
106	0.135886
107	0.143930
108	0.136277
109	0.142133
110	0.138622
111	0.144175
112	0.135858
113	0.142861
114	0.136072
115	0.145448
116	0.143227
117	0.142463
118	0.142688
119	0.142182
120	0.140374
121	0.139507
122	0.140405
123	0.141441
124	0.148326
125	0.137708
126	0.142265
127	0.138452
128	0.144559
129	0.135276
130	0.146158
131	0.138806
132	0.141511
133	0.137820
134	0.141886
135	0.134622
136	0.142554
137	0.138177
138	0.144005
139	0.136444
140	0.143384
141	0.138133
142	0.144560
143	0.133725
144	0.143758
145	0.140797
146	0.141351
147	0.140068
148	0.141920
149	0.141664
150	0.142167
151	0.143525
152	0.139864
153	0.142838
154	0.139319
155	0.143253
156	0.135002
157	0.143570
158	0.134866
159	0.144469
160	0.137578
161	0.143811
162	0.141285
163	0.141816
164	0.134516
165	0.144618
166	0.137591
167	0.146032
168	0.137325
169	0.143999
170	0.137437
171	0.146689
172	0.139902
173	0.142216
174	0.139929
175	0.138759
176	0.143211
177	0.139496
178	0.141130
179	0.141627
180	0.139664
181	0.138367
182	0.139903
183	0.140899
184	0.140197
185	0.138893
186	0.138420
187	0.142308
188	0.142001
189	0.138786
190	0.142673
191	0.139630
192	0.141386
193	0.140498
194	0.138473
195	0.142498
196	0.140816
197	0.140491
198	0.140305
199	0.138615
200	0.139887
